week_id,region,channel,drug_type,list_price,competitor_price,discount_rate,copay,ad_spend_k,rep_visits,units_sold,revenue,profit
42,Quebec,Rep_Visit,Brand,203.27,189.68,0.237,41.01,12.13,9,248,38440.89,5591.92
20,Quebec,Conference,Generic,62.7,63.34,0.275,30.99,20.28,1,467,21239.17,-7528.86
20,BC,Rep_Visit,Brand,211.98,207.01,0.081,21.38,17.11,5,183,35645.89,4058.98
6,Quebec,Email,Generic,66.06,65.48,0.044,20.78,22.76,5,393,24829.95,-6030.27
29,Ontario,Email,Generic,61.02,62.67,0.04,20.81,36.86,3,500,29277.93,-18922.34
1,Alberta,Rep_Visit,Brand,178.05,159.22,0.082,31.89,59.14,15,228,37279.43,-38146.61
28,Quebec,Rep_Visit,Generic,60.43,55.72,0.05,15.36,3.92,16,455,26129.36,12398.23
20,BC,Digital_Ads,Generic,65.24,60.29,0.35,24.58,24.08,2,349,14800.15,-17557.38
28,Quebec,Rep_Visit,Brand,223.29,233.02,0.051,0.0,40.3,12,298,63138.67,2421.82
26,Ontario,Rep_Visit,Generic,67.55,64.1,0.105,20.48,51.28,6,574,34691.54,-26997.19
25,Ontario,Email,Brand,202.74,185.7,0.233,28.09,3.42,2,229,35612.51,13475.16
41,BC,Conference,Brand,203.82,184.88,0.199,36.01,22.8,3,194,31665.09,-5884.08
8,Ontario,Email,Brand,240.05,233.3,0.063,26.17,11.8,3,189,42511.79,17090.79
21,Quebec,Conference,Generic,58.81,54.75,0.19,25.76,6.19,3,405,19301.26,3250.12
43,BC,Digital_Ads,Brand,236.99,236.2,0.161,31.45,16.85,6,173,34400.8,5165.58
52,Alberta,Rep_Visit,Brand,173.47,159.2,0.231,3.22,15.23,8,225,30007.13,-2887.44
1,BC,Conference,Brand,199.58,188.71,0.29,23.17,9.15,3,193,27346.0,3168.78
9,Ontario,Email,Brand,191.76,169.48,0.141,19.92,40.21,2,287,47254.01,-16172.23
13,BC,Rep_Visit,Brand,248.59,254.82,0.223,42.2,23.38,10,210,40567.35,3012.68
45,Quebec,Rep_Visit,Generic,59.67,61.69,0.255,21.16,15.97,10,541,24046.92,-2831.47
26,Quebec,Rep_Visit,Generic,62.57,60.52,0.131,27.03,12.89,8,500,27194.13,3914.74
6,Ontario,Digital_Ads,Generic,73.76,67.32,0.348,35.56,19.65,2,502,24145.7,-4991.82
6,BC,Email,Generic,57.41,51.43,0.182,29.36,42.66,6,374,17555.89,-33281.99
17,Quebec,Rep_Visit,Brand,196.08,185.45,0.345,15.57,16.89,10,372,47748.76,2846.12
22,Ontario,Rep_Visit,Brand,209.57,192.41,0.138,22.46,16.53,11,328,59264.12,19686.89
30,Alberta,Digital_Ads,Brand,172.89,162.02,0.044,30.57,7.46,3,142,23476.01,6296.04
28,Ontario,Digital_Ads,Brand,189.84,183.78,0.35,22.83,3.85,5,302,37264.67,10998.32
48,Quebec,Conference,Brand,190.73,176.74,0.072,41.91,7.27,1,196,34697.31,13220.64
18,Alberta,Rep_Visit,Brand,199.81,191.74,0.167,22.86,5.97,12,165,27454.51,9214.08
26,Quebec,Rep_Visit,Brand,217.61,209.41,0.35,29.87,21.48,8,336,47525.58,-1152.07
38,Quebec,Rep_Visit,Generic,56.31,55.17,0.133,28.19,42.1,9,573,27990.32,-28048.48
2,Ontario,Rep_Visit,Generic,68.37,60.95,0.187,23.84,12.98,10,570,31669.79,6381.94
34,Ontario,Email,Brand,220.02,218.02,0.082,18.63,29.5,2,247,49891.03,359.09
49,Ontario,Email,Generic,54.37,56.8,0.022,22.95,7.44,5,431,22907.92,5788.77
52,BC,Rep_Visit,Generic,67.4,62.81,0.032,31.21,49.7,12,427,27857.2,-31300.3
36,Alberta,Rep_Visit,Brand,200.32,184.39,0.35,33.11,12.38,10,196,25521.25,-1730.76
13,Quebec,Conference,Generic,65.88,63.11,0.35,6.51,15.77,3,465,19911.35,-5163.12
3,Quebec,Rep_Visit,Generic,66.44,57.08,0.069,28.48,9.56,15,480,29704.71,10341.89
